ID,DATE,LOC,SCUTUM,STERGUM,SPECIESNUM,SPECIES
1,6/3/2014,10618,0.5,0.5,2,ALB
2,6/3/2014,24080,0.2,0.6,2,ALB
3,6/3/2014,21477,0.1,0.8,2,ALB
4,6/3/2014,21477,0.2,0.8,2,ALB
5,6/3/2014,11635,0.4,0.9,2,ALB
6,6/4/2014,25344,0.0,0.3,2,ALB
7,6/4/2014,21427,0.4,0.6,1,AEG
8,6/4/2014,101,0.0,0.8,1,AEG
9,6/5/2014,11635,0.2,0.2,2,ALB
10,6/5/2014,10618,0.2,0.2,2,ALB
11,6/5/2014,24080,0.1,0.5,2,ALB
12,6/5/2014,2037,0.3,0.5,2,ALB
13,6/5/2014,10618,0.1,0.8,2,ALB
14,6/5/2014,1193,0.0,0.9,2,ALB
15,6/5/2014,25347,1.0,1.0,1,AEG
16,6/5/2014,25347,1.0,1.0,1,AEG
17,6/5/2014,114,0.0,1.0,2,ALB
18,6/5/2014,10618,0.1,1.0,2,ALB
19,6/5/2014,10618,0.1,1.0,2,ALB
20,6/5/2014,1193,0.1,1.0,2,ALB
21,6/5/2014,25285,0.1,1.0,2,ALB
22,6/5/2014,10618,0.5,1.0,2,ALB
23,6/5/2014,1093,0.6,1.0,2,ALB
24,6/5/2014,11635,1.0,1.0,2,ALB
25,6/8/2014,17853,0.0,0.3,1,AEG
26,6/8/2014,11635,0.0,0.4,2,ALB
27,6/8/2014,22642,0.6,0.4,2,ALB
28,6/8/2014,21477,0.1,0.5,2,ALB
29,6/8/2014,6166,0.2,0.5,2,ALB
30,6/8/2014,25243,0.6,0.8,1,AEG
31,6/8/2014,89,0.4,0.9,2,ALB
32,6/8/2014,6166,0.8,0.9,2,ALB
33,6/8/2014,6166,0.1,0.9,2,ALB 
34,6/8/2014,24159,0.0,1.0,1,AEG
35,6/8/2014,17853,0.3,1.0,1,AEG
36,6/8/2014,17853,1.0,1.0,1,AEG
37,6/8/2014,25243,1.0,1.0,1,AEG
38,6/8/2014,10618,0.0,1.0,2,ALB
39,6/8/2014,21477,0.0,1.0,2,ALB
40,6/8/2014,21477,0.0,1.0,2,ALB
41,6/8/2014,25243,0.1,1.0,2,ALB
42,6/8/2014,6166,0.1,1.0,2,ALB
43,6/8/2014,9841,0.1,1.0,2,ALB
44,6/8/2014,9841,0.1,1.0,2,ALB
45,6/8/2014,10618,1.0,1.0,2,ALB
46,6/9/2014,21489,0.7,0.9,2,ALB
47,6/9/2014,25237,0.8,1.0,2,ALB
48,6/10/2014,25237,0.2,0.1,2,ALB
49,6/10/2014,12467,0.0,0.2,2,ALB
50,6/10/2014,25237,0.2,0.2,2,ALB
51,6/10/2014,6166,0.4,0.2,2,ALB
52,6/10/2014,21477,0.1,0.3,2,ALB
53,6/10/2014,25241,0.2,0.5,2,ALB
54,6/10/2014,35,0.8,0.6,2,ALB
55,6/10/2014,6166,0.0,0.8,2,ALB
56,6/10/2014,6166,0.2,0.8,2,ALB
57,6/10/2014,24080,0.3,0.8,2,ALB
58,6/10/2014,25237,0.5,0.9,1,AEG
59,6/10/2014,25237,0.6,0.9,1,AEG
60,6/10/2014,6166,0.0,0.9,2,ALB
61,6/10/2014,6166,0.1,0.9,2,ALB
62,6/10/2014,20396,0.0,1.0,2,ALB
63,6/10/2014,114,0.1,1.0,2,ALB
64,6/10/2014,22642,0.1,1.0,2,ALB
65,6/10/2014,25237,0.1,1.0,2,ALB
66,6/10/2014,21489,0.1,1.0,2,ALB
67,6/10/2014,21477,0.2,1.0,2,ALB
